epoch,train_loss,val_loss
0,7.743473224639892,7.747461795806885
1000,5.252540521621704,5.235616769790649
2000,4.43680480003357,4.378154287338257
3000,4.156161732673645,4.128275594711304
4000,3.906596636772156,3.9467708444595337
5000,3.75268816947937,3.8562602949142457
6000,3.6526809978485106,3.7424789333343504
7000,3.581650652885437,3.7201704788208008
8000,3.539230856895447,3.690168328285217
9000,3.4701019287109376,3.65580801486969
10000,3.4659492444992064,3.6689417695999147
11000,3.436584129333496,3.6573070526123046
12000,3.4240483808517457,3.6272192907333376
13000,3.421867003440857,3.616523470878601
14000,3.386131830215454,3.6144615459442138
15000,3.3865967321395876,3.601150212287903
16000,3.37935884475708,3.58008065700531
17000,3.357322402000427,3.5826721143722535
18000,3.3264606475830076,3.551372923851013
19000,3.3160803174972533,3.543232088088989
20000,3.303397889137268,3.5365676403045656
21000,3.2821877098083494,3.505007057189941
22000,3.2538171005249024,3.4942192697525023
23000,3.254008593559265,3.4965241622924803
24000,3.2112443113327025,3.47781033039093
25000,3.219932804107666,3.4773817968368532
26000,3.1970558643341063,3.4311306619644166
27000,3.183559036254883,3.4193383073806762
28000,3.154856653213501,3.41748233795166
29000,3.141740984916687,3.4081965780258177
30000,3.134456658363342,3.417298560142517
31000,3.1309698629379272,3.368326950073242
32000,3.116757969856262,3.3755667400360108
33000,3.080079298019409,3.3679373693466186
34000,3.081890273094177,3.355487041473389
35000,3.043401951789856,3.363623423576355
36000,3.045116539001465,3.353728666305542
37000,3.0335923433303833,3.31220073223114
38000,3.017377009391785,3.317280077934265
39000,2.9910165643692017,3.2854877424240114
40000,2.9948338317871093,3.3390079879760743
41000,2.9890899658203125,3.283544268608093
42000,2.9632128286361694,3.275479516983032
43000,2.965677194595337,3.273746075630188
44000,2.9449910354614257,3.270008406639099
45000,2.9286280345916746,3.267648138999939
46000,2.9182499694824218,3.2573042583465575
47000,2.910608563423157,3.2268201160430907
48000,2.9073072195053102,3.2350099229812623
49000,2.8848858880996704,3.2424439191818237
50000,2.88528094291687,3.2476730585098266
51000,2.859957675933838,3.2294800758361815
52000,2.8682782554626467,3.2305287504196167
53000,2.8596158456802367,3.1962849283218384
54000,2.8418796825408936,3.221441459655762
55000,2.8390411138534546,3.215361838340759
56000,2.837387971878052,3.1989344358444214
57000,2.836245746612549,3.185928864479065
58000,2.8182792234420777,3.1884678697586057
59000,2.822086753845215,3.1920608377456663
60000,2.799996542930603,3.1630928134918213
61000,2.79894905090332,3.178837151527405
62000,2.800412001609802,3.1579249238967897
63000,2.792034788131714,3.1708072090148924
64000,2.7812290382385254,3.175257029533386
65000,2.7766131019592284,3.173830609321594
66000,2.774663586616516,3.1501299810409544
67000,2.768428430557251,3.1631975412368774
68000,2.766604781150818,3.1369796133041383
69000,2.770001654624939,3.1709277486801146
70000,2.7513725328445435,3.1432916355133056
71000,2.7477579927444458,3.159868335723877
72000,2.7479489994049073,3.1493525552749633
73000,2.7603195476531983,3.143802037239075
74000,2.750379595756531,3.1413472270965577
75000,2.7532177925109864,3.1619961404800416
76000,2.7478733539581297,3.1095542192459105
77000,2.7482342863082887,3.1432695960998536
78000,2.726656322479248,3.152254762649536
79000,2.7349960899353025,3.1588511848449707
80000,2.7392368507385254,3.1243709421157835
81000,2.7219099044799804,3.141046404838562
82000,2.732496542930603,3.111143889427185
83000,2.7348209714889524,3.124942784309387
84000,2.7353771209716795,3.115523700714111
85000,2.721613702774048,3.1220402240753176
86000,2.7321257162094117,3.121350951194763
87000,2.7319661664962767,3.1295718431472777
88000,2.7362184429168703,3.123011202812195
89000,2.7264823055267335,3.138003082275391
90000,2.7389195775985717,3.121150770187378
91000,2.725864763259888,3.119842457771301
92000,2.7229394245147707,3.122897448539734
93000,2.7212466764450074,3.126431212425232
94000,2.713181371688843,3.134517240524292
95000,2.7251788187026977,3.1194382953643798
96000,2.724806866645813,3.1225292921066283
97000,2.7266170310974123,3.1217621898651124
98000,2.701986379623413,3.1259439611434936
99000,2.7264522314071655,3.1337703323364257
